lsoa code,postcode,lsoa name,msoa code,msoa name,ward code,ccg code,local authority code,lsoa 2001 code,lsoa 2011 code,msoa 2001 code,msoa 2011 code
S01006528,AB10 7AF,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7AG,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7AH,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006527,AB10 7AJ,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006527,AB10 7AL,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006527,AB10 7AN,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006527,AB10 7AP,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006527,AB10 7AQ,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006528,AB10 7AR,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7AS,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7AT,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7AU,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7AW,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7AX,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006529,AB10 7AY,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006528,AB10 7AZ,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006529,AB10 7BA,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006527,AB10 7BB,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006527,AB10 7BD,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006527,AB10 7BE,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006527,AB10 7BF,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006528,AB10 7BG,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7BH,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006527,AB10 7BJ,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006531,AB10 7BL,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006528,AB10 7BN,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006531,AB10 7BP,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006531,AB10 7BQ,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006531,AB10 7BR,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006531,AB10 7BS,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006528,AB10 7BT,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006531,AB10 7BU,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006531,AB10 7BW,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006528,AB10 7BX,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7BY,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7BZ,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006530,AB10 7DA,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006530,AB10 7DB,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006530,AB10 7DD,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006530,AB10 7DE,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006528,AB10 7DF,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006531,AB10 7DG,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006530,AB10 7DH,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006540,AB10 7DJ,"Braeside, Mannofield, Broomhill and Seafield South - 04",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S13002845,012,S12000033,S01000044,S01006540,S02000008,S02001241
S01006531,AB10 7DL,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006531,AB10 7DN,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006531,AB10 7DP,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006528,AB10 7DQ,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006531,AB10 7DR,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006531,AB10 7DS,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006531,AB10 7DT,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006531,AB10 7DU,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006531,AB10 7DW,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006528,AB10 7DX,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7DY,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006531,AB10 7DZ,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006526,AB10 7EA,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7EB,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7ED,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006528,AB10 7EE,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7EF,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006527,AB10 7EG,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006527,AB10 7EH,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006527,AB10 7EJ,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006526,AB10 7EL,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7EN,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7EP,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7EQ,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
